customer_id,gender,age,married,number_of_dependents,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_refunds,total_extra_data_charges,churn_value,cltv,streaming,log_total_long_distance_charges,log_total_revenue
0002-ORFBO,Female,37,1,0,2,9,no_offer,1,42.39,0,Cable,16,0,1,0,1,1,1,One Year,1,Credit Card,65.6,0.0,0,0,2205,0,5.946754796715697,6.883267895330866
0003-MKNFE,Male,46,0,0,0,9,no_offer,1,10.69,1,Cable,10,0,0,0,0,0,0,Month-to-Month,0,Credit Card,59.9,38.33,10,0,5414,1,4.576873586832978,6.415555119339311
0004-TLHLJ,Male,50,0,0,0,4,Offer E,1,33.65,0,Fiber Optic,30,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,73.9,0.0,0,1,4479,0,4.909709375506295,6.03176640638135
0011-IGKFF,Male,78,1,0,1,13,Offer D,1,27.82,0,Fiber Optic,4,0,1,1,0,1,1,Month-to-Month,1,Bank Withdrawal,98.0,0.0,0,1,3714,0,5.893465756225879,7.378077607437884
0013-EXCHZ,Female,75,1,0,3,3,no_offer,1,7.38,0,Fiber Optic,11,0,0,0,1,1,1,Month-to-Month,1,Credit Card,83.9,0.0,0,1,3464,0,3.1415627217655304,5.671741260444738
0013-MHZWF,Female,23,0,3,0,9,Offer E,1,16.77,0,Cable,73,0,0,0,1,1,1,Month-to-Month,1,Credit Card,69.4,0.0,0,0,5108,1,5.023419888455675,6.583934671914352
0013-SMEOE,Female,67,1,0,1,71,Offer A,1,9.96,0,Fiber Optic,14,1,1,1,1,1,1,Two Year,1,Bank Withdrawal,109.7,0.0,0,0,5011,1,6.562670056862685,9.060959465339883
0014-BMAQU,Male,52,1,0,8,63,Offer B,1,12.96,1,Fiber Optic,7,1,0,0,1,0,0,Two Year,1,Credit Card,84.65,0.0,20,0,4604,0,6.7062264376403355,8.734766055222828
0015-UOCOJ,Female,68,0,0,0,7,Offer E,1,10.53,0,DSL,21,1,0,0,0,0,1,Two Year,1,Bank Withdrawal,48.2,0.0,0,0,5525,0,4.31361395198771,6.028423088093514
0016-QLJIS,Female,43,1,1,3,65,no_offer,1,28.46,1,Cable,14,1,1,1,1,1,1,Two Year,1,Credit Card,90.45,0.0,0,0,5509,1,7.523427286262671,8.963006581860755
0017-DINOC,Male,47,0,0,0,54,no_offer,0,0.0,0,Cable,10,1,0,0,1,1,1,Two Year,0,Credit Card,45.2,0.0,0,0,5435,0,0.0,7.8085465118093405
0017-IUDMW,Female,25,1,2,2,72,no_offer,1,16.01,1,Fiber Optic,59,1,1,1,1,1,1,Two Year,1,Credit Card,116.8,0.0,0,0,6252,1,7.050746783312152,9.170608408156548
0018-NYROU,Female,58,1,0,0,5,no_offer,1,18.65,0,Fiber Optic,10,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,68.95,0.0,0,0,5536,0,4.54595082632812,6.09975825674325
0019-EFAEP,Female,32,0,0,0,72,Offer A,1,2.25,1,Fiber Optic,16,1,1,1,0,1,1,Two Year,1,Bank Withdrawal,101.3,0.0,0,0,5513,0,5.093750200806762,8.912506948468026
0019-GFNTW,Female,39,0,0,0,56,no_offer,0,0.0,0,DSL,19,1,1,1,1,0,1,Two Year,0,Bank Withdrawal,45.05,0.0,0,0,5795,0,0.0,7.84819213268437
0020-INWCK,Female,58,1,2,9,71,Offer A,1,27.26,1,Fiber Optic,12,0,1,1,0,0,1,Two Year,1,Credit Card,95.75,0.0,0,0,4865,1,7.568616842919113,9.080898889967614
0020-JDNXP,Female,52,1,1,0,34,no_offer,0,0.0,0,DSL,20,1,0,1,1,1,1,One Year,0,Credit Card,61.25,0.0,0,0,3607,1,0.0,7.597998246394693
0021-IKXGC,Female,72,0,0,0,1,Offer E,1,7.77,1,Fiber Optic,22,0,0,0,0,0,1,One Year,1,Bank Withdrawal,72.1,0.0,0,0,4432,0,2.1713368063840917,4.392842927107731
0022-TCJCI,Male,79,0,0,0,45,no_offer,1,10.67,0,DSL,17,1,0,1,0,0,1,One Year,0,Credit Card,62.7,0.0,0,1,2654,0,6.17617907180241,8.093355333250019
0023-HGHWL,Male,67,0,0,0,1,no_offer,0,0.0,0,Cable,9,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,25.1,0.0,0,1,5437,0,0.0,3.261935314328648
0023-UYUPN,Female,79,1,0,0,50,no_offer,1,31.43,1,no_internet,0,0,0,0,0,0,0,One Year,0,Bank Withdrawal,25.2,0.0,0,0,4015,0,7.360421988574595,7.965128819633649
0023-XUOPT,Female,26,1,0,1,13,no_offer,1,43.56,1,Fiber Optic,52,0,1,1,0,1,1,Month-to-Month,0,Bank Withdrawal,94.1,0.0,0,1,2973,0,6.340853008995741,7.485985313298744
0027-KWYKW,Female,30,1,2,1,23,Offer D,1,34.91,1,Fiber Optic,30,0,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,83.75,0.0,0,0,3585,0,6.6895122007120005,7.8837779990997765
0030-FNXPP,Female,22,0,0,0,3,no_offer,1,3.12,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.85,0.0,0,0,5634,0,2.337952236831337,4.2130160919396
0031-PVLZI,Female,34,1,0,0,4,Offer E,1,12.43,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,20.35,0.0,0,1,4133,0,3.9263203101289705,4.844738115716443
0032-PGELS,Female,37,1,1,1,1,no_offer,0,0.0,0,DSL,19,1,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,30.5,0.0,0,1,5171,0,0.0,3.449987545831587
0036-IHMOT,Female,37,1,3,10,55,no_offer,1,35.04,0,Fiber Optic,57,0,1,1,1,1,0,One Year,1,Bank Withdrawal,103.7,0.0,20,0,5892,1,7.56434220423028,8.936554630049821
0040-HALCW,Male,42,1,3,3,54,no_offer,1,19.7,0,no_internet,0,0,0,0,0,0,0,Two Year,0,Credit Card,20.4,0.0,0,0,6393,0,6.970542267080901,7.675731600162732
0042-JVWOJ,Male,64,0,0,0,26,Offer C,1,37.7,0,no_internet,0,0,0,0,0,0,0,One Year,1,Bank Withdrawal,19.6,21.25,0,0,3722,0,6.888776312384334,7.266687672962084
0042-RLHYP,Female,47,1,3,5,69,no_offer,1,38.39,0,no_internet,0,0,0,0,0,0,0,Two Year,0,Bank Withdrawal,19.7,0.0,0,0,4131,0,7.882280956139386,8.30568419541695
0048-LUMLS,Male,23,1,3,1,37,Offer C,1,43.01,0,Fiber Optic,51,0,0,0,0,1,1,One Year,0,Credit Card,91.2,0.0,0,0,5263,1,7.3729787514611305,8.484653470648453
0048-PIHNL,Female,48,1,0,5,49,Offer B,1,49.58,0,no_internet,0,0,0,0,0,0,0,One Year,0,Bank Withdrawal,20.45,0.0,0,0,6061,0,7.795819360905741,8.11112390082659
0052-DCKON,Male,28,1,0,9,66,no_offer,1,43.77,1,Fiber Optic,41,1,1,1,1,1,1,One Year,0,Bank Withdrawal,115.8,0.0,0,0,5845,1,7.968949495429741,9.290257225576582
0052-YNYOT,Female,28,0,0,0,67,no_offer,1,23.12,0,no_internet,0,0,0,0,0,0,0,One Year,0,Bank Withdrawal,20.55,30.53,0,0,5462,0,7.346036016031924,7.959593869046899
0056-EPFBG,Male,33,1,1,4,20,no_offer,0,0.0,0,Cable,22,1,0,1,1,0,1,Two Year,1,Credit Card,39.4,0.0,0,0,3899,0,0.0,6.717078917805429
0057-QBUQH,Female,31,0,3,0,43,no_offer,1,30.64,1,no_internet,0,0,0,0,0,0,0,Two Year,1,Bank Withdrawal,25.1,0.0,0,0,4797,0,7.184265174430667,7.778492004674465
0058-EVZWM,Female,37,1,0,2,55,Offer B,1,5.08,1,Fiber Optic,9,1,0,0,0,1,1,Month-to-Month,1,Bank Withdrawal,89.8,0.0,0,0,5875,0,5.636217155160435,8.564076777315087
0060-FUALY,Female,60,1,0,4,59,Offer B,1,16.39,1,Fiber Optic,14,1,1,0,0,1,1,Month-to-Month,1,Bank Withdrawal,94.75,0.0,0,0,5238,0,6.875242417801729,8.789608314814016
0064-SUDOG,Female,48,1,3,3,12,no_offer,1,19.28,0,no_internet,0,0,0,0,0,0,0,Two Year,0,Bank Withdrawal,20.3,0.0,0,0,5190,0,5.4482878931243315,6.124376998227723
0064-YIJGF,Male,60,1,3,7,27,Offer C,1,25.26,1,Fiber Optic,23,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.75,0.0,0,0,4994,0,6.526524141718931,7.867879147334848
0067-DKWBL,Male,69,0,0,0,2,no_offer,1,43.99,0,DSL,27,1,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,49.25,0.0,0,1,3475,0,4.488411625377895,5.193401196598477
0068-FIGTF,Female,20,0,0,0,27,Offer C,1,48.91,0,DSL,59,0,1,1,1,1,1,One Year,0,Credit Card,78.2,0.0,0,0,2297,1,7.186575702751201,8.131683640086413
0071-NDAFP,Male,31,1,3,1,25,no_offer,1,23.69,1,no_internet,0,0,0,0,0,0,0,Two Year,0,Credit Card,25.5,44.42,0,0,5230,0,6.385615895315873,7.072786549905607
0074-HDKDG,Male,46,1,0,5,25,no_offer,1,6.45,0,Cable,19,1,1,1,0,0,1,One Year,1,Bank Withdrawal,61.6,44.9,0,0,3807,0,5.0891383555842,7.454922475150566
0076-LVEPS,Male,57,0,1,0,29,no_offer,0,0.0,0,DSL,21,1,1,1,1,0,1,Month-to-Month,1,Credit Card,45.0,12.26,0,0,3290,0,0.0,7.11573646033444
0078-XZMHT,Male,19,1,0,5,72,no_offer,1,32.36,1,DSL,52,0,1,1,1,1,1,Two Year,1,Bank Withdrawal,85.15,0.0,0,0,6322,1,7.754018318412491,9.064981596509563
0080-EMYVY,Female,64,0,0,0,14,no_offer,1,24.04,0,Cable,12,0,1,0,0,0,1,One Year,0,Credit Card,51.45,0.0,0,0,4298,0,5.8217432722897655,6.971114980584898
0080-OROZO,Female,38,0,0,0,35,Offer C,1,36.42,0,Fiber Optic,2,0,0,1,1,1,1,One Year,1,Bank Withdrawal,99.25,0.0,0,0,3244,1,7.151250326544244,8.477974078261676
0082-LDZUE,Male,54,0,0,0,1,Offer E,1,42.95,0,DSL,9,0,0,0,0,0,1,Month-to-Month,1,Credit Card,44.3,0.0,0,0,4427,0,3.783052624131186,4.480173695813406
0082-OQIQY,Male,50,0,0,0,29,no_offer,1,2.05,0,Fiber Optic,17,0,0,0,1,1,0,Month-to-Month,1,Bank Withdrawal,94.2,0.0,20,0,4561,1,4.101816577060802,7.896571302660516
0083-PIVIK,Male,25,0,0,0,64,no_offer,1,5.49,1,DSL,69,1,1,1,1,1,0,One Year,0,Bank Withdrawal,81.25,0.0,40,0,4761,0,5.864653380241595,8.692810659274238
0089-IIQKO,Female,35,1,3,1,39,no_offer,1,24.38,1,Fiber Optic,53,0,0,0,1,1,1,Month-to-Month,1,Credit Card,99.95,0.0,0,0,4447,1,6.858375941284063,8.459398810686327
0093-EXYQL,Female,72,0,0,0,40,no_offer,1,44.14,0,Fiber Optic,23,0,0,0,0,1,1,Two Year,1,Bank Withdrawal,91.55,0.0,0,0,5742,0,7.476812074311032,8.601571103880065
0093-XWZFY,Male,51,0,0,0,40,no_offer,1,37.69,1,Fiber Optic,15,0,1,1,0,1,1,Month-to-Month,1,Credit Card,104.5,0.0,0,1,2832,1,7.3189373474195305,8.62073305068461
0094-OIFMO,Female,78,0,1,0,11,Offer D,1,11.59,0,Fiber Optic,29,0,1,0,0,1,0,Month-to-Month,1,Bank Withdrawal,95.0,0.0,120,1,5980,0,4.855851080295389,7.221682416882098
0096-BXERS,Female,30,1,0,10,6,Offer E,1,42.66,1,Cable,85,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,50.35,0.0,0,0,3442,0,5.548920430758397,6.348281980894554
0096-FCPUF,Male,58,0,0,0,30,no_offer,1,2.64,1,DSL,15,1,0,0,0,0,1,Month-to-Month,1,Mailed Check,64.5,0.0,0,0,5039,1,4.384523514872469,7.5851033076331085
0098-BOWSO,Male,26,0,0,0,27,no_offer,1,20.66,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,19.4,0.0,0,0,3792,0,6.325827417722998,6.992666118052534
0100-DUVFC,Male,66,1,0,3,70,no_offer,1,39.49,1,Fiber Optic,28,0,1,1,0,1,1,One Year,1,Bank Withdrawal,104.8,6.11,0,0,5291,0,7.924904407166675,9.217131261601514
0103-CSITQ,Female,20,1,0,10,57,Offer B,1,8.01,1,Fiber Optic,73,0,1,1,1,1,1,One Year,1,Bank Withdrawal,109.4,0.0,0,0,6026,1,6.125929878475914,8.811394467606258
0104-PPXDV,Male,61,1,0,10,58,no_offer,1,18.37,0,DSL,18,0,0,1,0,0,1,One Year,0,Credit Card,50.3,10.23,0,0,5232,0,6.972100031347752,8.277610250775222
0106-GHRQR,Male,24,0,0,0,16,no_offer,1,25.71,1,DSL,48,0,1,1,0,0,1,Month-to-Month,1,Bank Withdrawal,71.4,0.0,0,0,3360,1,6.021896754228184,7.392930731845094
0106-UGRDO,Female,55,1,0,3,69,Offer A,1,38.52,1,Fiber Optic,27,1,1,1,1,1,1,Two Year,1,Bank Withdrawal,116.0,0.0,0,0,4216,1,7.885660260476617,9.291157856355795
0107-WESLM,Male,32,0,0,0,1,Offer E,1,31.77,0,no_internet,0,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,19.85,0.0,0,1,3874,0,3.489513462710723,3.9630962756121466
0107-YHINA,Male,59,0,0,0,1,no_offer,1,40.71,1,Fiber Optic,25,0,0,1,0,1,1,Month-to-Month,1,Bank Withdrawal,99.75,0.0,0,1,4214,1,3.730740908208854,4.952016991607844
